topology,algorithm,scenario_label,avg_throughput,median_throughput,std_throughput,min_throughput,max_throughput,avg_runtime_ms,std_runtime_ms,avg_hop_count,avg_loss_pct,total_retransmits,total_runs,success_rate_%
jellyfish,astar,Bandwidth Throttle,95.28466318361907,95.28466318361907,0.20048021933152138,95.142902261036,95.42642410620216,0.0547705,0.032992895303383125,1.5,0.0,0.0,2,100.0
jellyfish,astar,Baseline No Failure,95.24506251166133,95.24506251166133,0.36785066431479413,94.98495281246036,95.5051722108623,0.060225,0.017889801564019647,1.5,0.0,0.0,2,100.0
jellyfish,astar,Link Down Before Traffic,95.34125633478595,95.34125633478595,0.07745327972721355,95.2864885954657,95.3960240741062,0.043037,0.00810202949883546,1.5,0.0,0.0,2,100.0
jellyfish,astar,Link Down During Traffic,94.88339759154044,94.88339759154044,0.18015555186089424,94.7560083791512,95.01078680392968,0.060866,0.03850196423560751,1.5,0.0,135.0,2,100.0
jellyfish,astar,Link Flap,94.57694007831881,94.57694007831881,0.2117735221765152,94.42719358471204,94.7266865719256,0.0438625,0.009787064958403006,1.5,0.0,45.0,2,100.0
jellyfish,astar,Random Link Down Jellyfish,95.07529790580406,95.07529790580406,0.08758594804312551,95.01336528800611,95.137230523602,0.055870500000000003,0.0344184225742552,1.5,0.0,0.0,2,100.0
jellyfish,astar,Switch Down,95.2551758627834,95.2551758627834,,95.2551758627834,95.2551758627834,0.098358,,2.0,60.0,0.0,1,50.0
jellyfish,bellman_ford,Bandwidth Throttle,95.27645105816683,95.27645105816683,0.2644784517713953,95.08943655144157,95.4634655648921,0.0843795,0.03428831492651688,1.5,0.0,0.0,2,100.0
jellyfish,bellman_ford,Baseline No Failure,95.10257701931309,95.10257701931309,0.20267318701059392,94.9592654344132,95.24588860421296,0.207121,0.21681590967454395,1.5,0.0,0.0,2,100.0
jellyfish,bellman_ford,Link Down Before Traffic,95.08328860172428,95.08328860172428,0.2863467730248565,94.88081085674752,95.28576634670104,0.0666875,0.029621410170685668,1.5,0.0,0.0,2,100.0
jellyfish,bellman_ford,Link Down During Traffic,94.82339044350537,94.82339044350537,0.300046854114238,94.6112252782875,95.03555560872324,0.0775045,0.04491895827487543,1.5,0.0,0.0,2,100.0
jellyfish,bellman_ford,Link Flap,95.33165968117,95.33165968117,0.14431081023622214,95.22961652865344,95.43370283368655,0.072692,0.04329897663917704,1.5,0.0,0.0,2,100.0
jellyfish,bellman_ford,Random Link Down Jellyfish,95.2669417427145,95.2669417427145,0.03656801575173616,95.2410842508019,95.29279923462708,0.063296,0.027547465981465517,1.5,0.0,0.0,2,100.0
